horizon_quarter,experiment,variable,pct_dev
91,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.38
92,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.428
93,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.475
94,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.522
95,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.569
96,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.616
97,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.662
98,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.709
99,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.756
100,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.803
1,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.235
2,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.229
3,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.229
4,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.233
5,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.242
6,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.254
7,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.269
8,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.288
9,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.309
10,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.334
11,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.361
12,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.39
13,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.421
14,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.455
15,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.491
16,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.528
17,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.567
18,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.608
19,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.651
20,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.694
21,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.739
22,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.786
23,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.833
24,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.882
25,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.932
26,AE: Infrastructure investment,Consumption (C<sub>t</sub>),1.982
27,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.034
28,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.086
29,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.139
30,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.193
31,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.248
32,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.303
33,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.359
34,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.416
35,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.473
36,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.53
37,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.588
38,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.647
39,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.706
40,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.766
41,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.825
42,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.886
43,AE: Infrastructure investment,Consumption (C<sub>t</sub>),2.946
